"p_max","L_max"
1.84285714285714,-1033.36994702827
2.24285714285714,-1014.3715613034
2.5,-1024.80585033801
2.01428571428571,-1028.74253220012
1.52857142857143,-1007.16066803261
1.98571428571429,-1031.30821287428
1.84285714285714,-1055.4931056817
1.9,-1027.83529714534
2.27142857142857,-1029.28885561928
2.07142857142857,-1020.10478017288
1.7,-1029.93461545729
2.15714285714286,-1033.5582043121
1.72857142857143,-1014.86067939518
2.07142857142857,-1046.90396381569
2.15714285714286,-1028.39973487808
1.78571428571429,-1017.5416832659
2.5,-1024.194439032
2.38571428571429,-1035.56918401842
1.95714285714286,-1026.07016657403
1.75714285714286,-1020.63065580928
2.07142857142857,-1037.41546615156
2.5,-1041.87302495071
2.12857142857143,-1019.0008398194
1.9,-1040.52141646293
1.81428571428571,-1031.92302606463
2.07142857142857,-1025.69412588399
1.72857142857143,-1028.93162483929
2.3,-1033.22303117344
2.3,-1036.52790245404
1.47142857142857,-1021.29186934439
2.01428571428571,-1008.22226384891
2.38571428571429,-1040.71334791177
2.12857142857143,-1051.67655177959
2.12857142857143,-1015.57649348695
1.78571428571429,-1031.04793258243
2.12857142857143,-1038.88267375885
2.24285714285714,-1029.88934200018
1.61428571428571,-1030.54877920228
1.21428571428571,-1036.88309598073
1.78571428571429,-1031.15389994378
1.55714285714286,-1020.4352918788
2.04285714285714,-1019.05321319592
1.98571428571429,-1033.36896508579
1.1,-1029.16846330105
1.1,-1038.06174117032
2.5,-1022.19722863137
2.3,-1036.36356633062
2.21428571428571,-1031.99183661214
2.12857142857143,-1029.3970477052
2.21428571428571,-1030.5305502554
1.55714285714286,-1031.21052036816
2.18571428571429,-1026.52036112453
1.84285714285714,-1028.04036481376
1.61428571428571,-1040.09061962792
2.18571428571429,-1025.22275181403
2.5,-1023.52265856951
2.01428571428571,-1021.60392031062
1.7,-1032.18286707517
2.5,-1038.84759782417
2.44285714285714,-1033.2136647346
2.5,-1022.0500587697
1.5,-1029.22239214181
2.24285714285714,-1032.72784558726
1.72857142857143,-1050.71996776671
2.27142857142857,-1034.11035847333
2.3,-1024.34832163547
2.1,-1037.6151538599
2.07142857142857,-1041.39571744762
2.04285714285714,-1027.39076717173
2.04285714285714,-1024.71332653613
2.07142857142857,-1019.69500017403
1.87142857142857,-1016.23213102545
2.24285714285714,-1023.0647548155
1.98571428571429,-1041.91533388022
2.3,-1032.95877077883
2.12857142857143,-1049.84759642061
1.87142857142857,-1029.35935650367
1.61428571428571,-1024.18399658511
1.52857142857143,-1043.47555491203
1.98571428571429,-1018.9633210281
2.01428571428571,-1013.92200359868
1.72857142857143,-1028.84822233742
2.07142857142857,-1021.79779157479
2.21428571428571,-1043.98260089054
1.92857142857143,-1027.78200471583
2.27142857142857,-1024.35808369647
2.01428571428571,-1028.48067637907
2.12857142857143,-1029.80476748253
1.87142857142857,-1040.00313428947
2.21428571428571,-1025.55223534135
1.9,-1016.45900516656
1.95714285714286,-1021.30480729278
1.81428571428571,-1022.23538941014
2.27142857142857,-1040.80080880823
2.32857142857143,-1029.82175540937
2.5,-1020.27082433494
1.98571428571429,-1045.10469128407
1.75714285714286,-1012.98680154538
1.67142857142857,-1039.89129078918
1.5,-1037.82573405259
